gene,spearman_rho,p_value,fdr,direction
MYC,0.7552447552447553,0.004508435484294224,0.06762653226441337,positive
BCL2L1,0.6643356643356644,0.01845271802844544,0.11017095466182647,positive
MAX,-0.6503496503496504,0.022034190932365295,0.11017095466182647,negative
MTOR,0.43356643356643365,0.1591057694121953,0.5890525087816142,positive
MKI67,0.37762237762237766,0.22620604493502663,0.5890525087816142,positive
MRC1,0.3706293706293707,0.2356210035126457,0.5890525087816142,positive
IL10,-0.2797202797202798,0.37856866966230307,0.6518279515698271,negative
STAT3,-0.2797202797202798,0.37856866966230307,0.6518279515698271,negative
CD86,-0.27272727272727276,0.3910967709418962,0.6518279515698271,negative
IL12B,0.053389235423501914,0.8691104938617286,0.9827917689028476,positive
IL6,0.04895104895104895,0.8799185788786749,0.9827917689028476,positive
HLA-DRA,-0.027972027972027972,0.9312343512018808,0.9827917689028476,negative
TNF,-0.027972027972027972,0.9312343512018808,0.9827917689028476,negative
ARG1,0.027536845620215862,0.9323020116456591,0.9827917689028476,positive
SOCS3,-0.006993006993006993,0.9827917689028476,0.9827917689028476,negative
